"Product","Blackbox flight data recorder by Nicholas Sherlock"
2428,14655993,-12,0,0,10000,1525,342,3,-3,-10,10,4,-21,-12,78,-2045,100,232,-2050,158,159,158,158,-5516,122,161,-5965,-1,-1,-1,8127,0,0,0,-2,0,0,-1,1,2,0,0,0,0,0,0,-2,1,4,0,3,1,0,0,0,0,0,2,2,1,1,0,0,0,0,266,260,269,272,0,0,0,0,266,262,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14611946,1405,-3073,-98,1405,-3072,-98,0,0,-2,-2,-3,0,0,0,1,0,0,10,-5517,138,35,-5966,1405,-3073,-104,0,0,-2,-5516,122,161,-5965,0,-3,59,5,12,-7,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2432,14658009,-12,0,0,10000,1525,342,-2,0,-14,-2,8,-14,-20,106,-2045,51,174,-2132,158,159,159,158,-5516,122,161,-5965,-1,-2,-3,8127,0,0,0,-2,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,2,2,1,1,0,0,0,0,266,260,269,272,0,0,0,0,266,259,268,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14611946,1405,-3073,-98,1405,-3072,-98,0,0,-2,-2,-3,0,0,0,1,0,0,10,-5517,138,35,-5966,1405,-3073,-104,0,0,-2,-5516,122,161,-5965,0,-3,59,5,12,-7,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2436,14660025,-12,0,0,10000,1525,342,4,0,-10,3,-9,-11,-27,127,-2039,26,266,-1810,158,159,159,158,-5516,122,161,-5965,0,-1,-4,8127,0,0,0,-2,0,0,-1,0,2,0,0,0,0,0,0,-2,0,4,1,4,2,0,0,0,0,0,2,2,1,1,0,0,0,0,266,260,269,272,0,0,0,0,268,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14611946,1405,-3073,-98,1405,-3072,-98,0,0,-2,-2,-3,0,0,0,1,0,0,10,-5517,138,35,-5966,1405,-3073,-104,0,0,-2,-5516,122,161,-5965,0,-3,59,5,12,-7,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2440,14662041,-12,0,0,10000,1525,342,-5,-2,-7,0,-7,4,-28,138,-2029,-173,121,-2145,158,158,159,158,-5516,122,161,-5965,-1,-1,-5,8127,0,0,0,-2,0,0,1,1,2,0,0,0,0,0,0,1,1,3,0,1,2,0,0,0,0,0,2,2,1,1,0,0,0,0,266,260,269,272,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14611946,1405,-3073,-98,1405,-3072,-98,0,0,-2,-2,-3,0,0,0,1,0,0,10,-5517,138,35,-5966,1405,-3073,-104,0,0,-2,-5516,122,161,-5965,0,-3,59,5,12,-7,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2444,14664057,-12,0,0,10000,1525,342,-4,6,-1,-12,10,4,-25,139,-2028,110,163,-2051,158,158,159,158,-5516,122,161,-5965,-1,0,-3,8127,0,0,0,-2,0,0,1,-1,0,0,0,0,0,0,0,1,-3,0,0,0,3,0,0,0,0,0,2,2,1,1,0,0,0,0,266,260,269,272,0,0,0,0,265,260,268,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,122,161,-5965,0,-3,59,5,12,-7,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2448,14666073,-12,0,0,10000,1525,342,-10,3,5,-11,9,17,-19,131,-2026,-97,56,-2053,158,158,159,158,-5516,122,161,-5965,-3,0,-2,8127,0,0,0,-2,0,0,2,-1,-1,0,0,0,0,0,0,3,-1,-2,0,0,3,1,0,0,0,0,2,2,2,1,0,0,0,0,266,260,269,272,0,0,0,0,266,259,271,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,11,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,122,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2452,14668089,-12,0,0,10000,1525,342,-6,9,7,0,7,6,-11,114,-2038,218,-76,-1983,160,158,160,159,-5516,122,161,-5965,-3,2,1,8127,0,0,0,-2,0,0,1,-2,-2,0,0,0,0,0,0,2,-4,-3,4,0,4,2,0,0,0,0,2,2,2,1,0,0,0,0,266,260,269,272,0,0,0,0,263,257,269,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,9,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,122,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2456,14670105,-12,0,0,10000,1525,342,-12,6,12,-18,12,10,-2,84,-2055,103,82,-1928,160,158,160,160,-5516,122,161,-5965,-4,2,3,8127,0,0,0,-2,0,0,2,-1,-3,0,0,0,0,0,0,4,-2,-5,4,0,5,5,0,0,0,0,2,2,2,1,0,0,0,0,266,260,269,272,0,0,0,0,266,262,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,9,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,122,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049479157181227244,0.0048554479004830455,1.6490951823281785,0,0,0,"","","",NaN,NaN,NaN,NaN
2460,14672121,-12,0,0,10000,1524,378,-8,1,8,-8,-2,7,5,73,-2056,59,-47,-1861,159,158,159,159,-5516,123,161,-5965,-4,1,4,8127,0,0,0,-2,0,0,2,0,-2,0,0,0,0,0,0,3,0,-3,2,0,2,3,0,0,0,0,2,2,2,1,0,0,0,0,266,260,269,272,0,0,0,0,268,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2464,14674137,-12,0,0,10000,1524,378,-4,2,6,0,8,-3,2,60,-2048,-19,71,-2011,159,158,159,159,-5515,123,161,-5965,-3,1,4,8127,0,0,0,-2,0,0,1,0,-1,0,0,0,0,0,0,1,-1,-2,2,0,1,2,0,0,0,0,2,1,2,2,0,0,0,0,266,260,269,272,0,0,0,0,265,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5515,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04964263318918117,0.004669944965901885,1.649108933716873,0,0,0,"","","",NaN,NaN,NaN,NaN
2468,14676153,-12,0,0,10000,1524,378,-5,-5,-1,-8,-9,-5,0,59,-2045,-122,115,-2263,158,158,158,159,-5515,123,161,-5965,-2,0,3,8127,0,0,0,-2,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,2,1,2,2,0,0,0,0,266,260,269,272,0,0,0,0,266,260,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5515,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04964263318918117,0.004669944965901885,1.649108933716873,0,0,0,"","","",NaN,NaN,NaN,NaN
2472,14678169,-12,0,0,10000,1524,378,-4,-4,-2,-9,-10,-1,-7,65,-2044,-79,341,-1927,158,159,158,159,-5515,123,161,-5965,-1,-1,1,8127,0,0,0,-2,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,2,1,2,0,0,0,0,2,1,2,2,0,0,0,0,266,260,269,272,0,0,0,0,265,260,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5515,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04964263318918117,0.004669944965901885,1.649108933716873,0,0,0,"","","",NaN,NaN,NaN,NaN
2476,14680185,-12,0,0,10000,1524,378,0,-8,-14,5,-9,-20,-13,94,-2041,-131,50,-2068,158,160,159,159,-5516,123,161,-5965,0,-2,-2,8127,0,0,0,-2,0,0,0,2,3,0,0,0,0,0,0,-1,3,6,0,6,2,2,0,0,0,0,2,1,2,2,0,0,0,0,266,260,269,272,0,0,0,0,266,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2480,14682201,-12,0,0,10000,1524,378,-3,-1,-9,-9,-8,-6,-21,111,-2043,-8,251,-2012,158,159,159,158,-5516,123,161,-5965,0,-2,-3,8127,0,0,0,-2,0,0,0,0,2,0,0,0,0,0,0,1,1,4,0,2,2,1,0,0,0,0,2,2,2,2,0,0,0,0,266,260,269,272,0,0,0,0,265,260,268,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,-1,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2484,14684217,-12,0,0,10000,1524,378,-9,1,-12,-18,19,-8,-23,133,-2041,-129,2,-1955,158,159,160,158,-5516,123,161,-5965,0,-2,-4,8127,0,0,0,-2,0,0,2,0,3,0,0,0,0,0,0,3,-1,5,0,2,4,1,0,0,0,0,1,2,2,2,0,0,0,0,265,260,269,272,0,0,0,0,266,259,268,275,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,-1,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2488,14686233,-12,0,0,10000,1524,378,-8,3,-5,-8,13,-6,-27,143,-2024,15,245,-2153,158,158,159,158,-5516,123,161,-5965,-1,-1,-4,8127,0,0,0,-2,0,0,1,-1,1,0,0,0,0,0,0,3,-1,2,0,0,3,1,0,0,0,0,1,2,2,2,0,0,0,0,265,260,269,272,0,0,0,0,265,260,272,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2492,14688249,-12,0,0,10000,1524,378,-5,3,0,3,-4,11,-21,144,-2020,40,-70,-2230,158,158,159,158,-5516,123,161,-5965,-1,0,-3,8127,0,0,0,-2,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,2,0,0,0,0,0,1,2,2,1,0,0,0,0,265,260,269,272,0,0,0,0,266,260,271,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2496,14690265,-12,0,0,10000,1524,378,-15,3,7,-22,-5,7,-12,125,-2030,55,158,-2208,159,158,160,160,-5516,123,161,-5965,-2,1,0,8127,0,0,0,-2,0,0,3,-1,-2,0,0,0,0,0,0,5,-1,-3,2,0,5,5,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,266,260,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2500,14692281,-12,0,0,10000,1528,432,-11,3,10,-6,7,21,-4,104,-2043,9,-38,-2123,159,158,159,160,-5516,123,161,-5965,-3,0,1,8127,0,0,0,-2,0,0,2,-1,-2,0,0,0,0,0,0,4,-1,-4,3,0,4,4,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,265,257,269,271,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2504,14694297,-12,0,0,10000,1528,432,-7,2,12,-6,-13,11,5,82,-2050,-9,106,-1979,159,158,159,159,-5516,123,161,-5965,-2,2,4,8127,0,0,0,-2,0,0,1,-1,-3,0,0,0,0,0,0,2,-1,-5,3,0,2,4,0,0,0,0,2,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,265,260,269,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,161,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.049646353930845724,0.004674820027132734,1.6490948000254388,0,0,0,"","","",NaN,NaN,NaN,NaN
2508,14696313,-12,0,0,10000,1528,432,-10,3,9,-11,7,9,9,69,-2046,-61,29,-1804,159,158,159,159,-5516,123,162,-5965,-2,1,4,8127,0,0,0,-2,0,0,2,-1,-2,0,0,0,0,0,0,3,-1,-3,2,0,3,4,0,0,0,0,2,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,265,260,272,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2512,14698329,-12,0,0,10000,1528,432,-6,-1,5,-8,8,-2,10,58,-2041,-19,224,-2074,158,158,158,159,-5515,123,162,-5965,-1,0,4,8127,0,0,0,-2,0,0,1,0,-1,0,0,0,0,0,0,2,0,-2,1,0,1,2,0,0,0,0,2,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,263,259,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5515,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982352231651889,0.004836946028951887,1.6491183942785599,0,0,0,"","","",NaN,NaN,NaN,NaN
2516,14700345,-12,0,0,10000,1528,432,-4,-9,0,-6,-17,4,7,61,-2042,-158,199,-1981,158,158,158,159,-5515,123,162,-5965,0,-1,2,8127,0,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,265,259,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-103,0,0,-2,-5515,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982352231651889,0.004836946028951887,1.6491183942785599,0,0,0,"","","",NaN,NaN,NaN,NaN
2520,14702361,-12,0,0,10000,1528,432,0,-1,-8,5,5,-14,-2,79,-2043,124,227,-2080,158,159,158,158,-5516,123,162,-5965,1,-1,0,8127,0,0,0,-2,0,0,0,0,2,0,0,0,0,0,0,-1,0,3,0,2,1,0,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,266,260,269,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2524,14704377,-12,0,0,10000,1528,432,-3,-7,-11,5,-6,-9,-6,101,-2043,-56,217,-1989,158,160,159,159,-5516,123,162,-5965,1,-2,-2,8127,0,0,0,-2,0,0,0,2,2,0,0,0,0,0,0,1,3,4,0,4,2,3,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,263,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,-1,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2528,14706393,-12,0,0,10000,1528,432,1,-5,-11,7,-16,-9,-18,121,-2044,94,200,-1760,158,160,159,158,-5516,123,162,-5965,2,-2,-3,8127,0,0,0,-2,0,0,-1,1,3,0,0,0,0,0,0,-1,2,5,0,4,2,1,0,0,0,0,1,1,2,2,0,0,0,0,265,260,269,272,0,0,0,0,266,259,271,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,-1,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2532,14708409,-12,0,0,10000,1528,432,-6,0,-12,-4,9,-15,-22,140,-2029,-73,26,-1962,158,159,159,158,-5516,123,162,-5965,1,-2,-4,8127,0,0,0,-2,0,0,1,0,3,0,0,0,0,0,0,2,0,5,0,3,4,1,0,0,0,0,1,2,2,2,0,0,0,0,265,260,269,272,0,0,0,0,266,260,268,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2536,14710425,-12,0,0,10000,1528,432,-6,3,-3,-11,23,-3,-25,146,-2022,-51,258,-1912,158,158,159,158,-5516,123,162,-5965,1,-2,-4,8127,0,0,0,-2,0,0,1,-1,1,0,0,0,0,0,0,2,-1,1,0,0,2,0,0,0,0,0,1,2,2,2,0,0,0,0,265,259,269,272,0,0,0,0,265,260,268,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2540,14712441,-12,0,0,10000,1519,310,-8,1,4,-12,16,12,-22,138,-2027,-71,67,-2189,158,158,159,159,-5516,123,162,-5965,0,-1,-2,8127,0,0,0,-2,0,0,1,0,-1,0,0,0,0,0,0,2,-1,-1,0,0,2,3,0,0,0,0,1,2,2,2,0,0,0,0,265,259,269,272,0,0,0,0,265,259,269,274,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14661829,1405,-3073,-99,1405,-3072,-98,0,0,-2,-2,-2,-1,0,0,1,0,0,10,-5505,125,-24,-5977,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2544,14714457,-12,0,0,10000,1519,310,-9,1,5,-14,-10,2,-13,122,-2036,101,-15,-2198,158,158,159,159,-5516,123,162,-5965,0,0,0,8127,0,0,0,-2,0,0,2,0,-1,0,0,0,0,0,0,3,0,-2,1,0,2,3,0,0,0,0,1,1,2,2,0,0,0,0,265,259,269,272,0,0,0,0,265,260,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-104,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,10,-5515,126,88,-5967,1405,-3073,-104,0,0,-2,-5516,123,162,-5965,0,-3,58,4,12,-8,0,0,0,0,1,7,0,1,1,-0.04982724302759724,0.0048418518280599395,1.6491042636096773,0,0,0,"","","",NaN,NaN,NaN,NaN
2548,14716474,-12,0,0,10000,1519,310,-6,4,12,-3,6,21,-6,99,-2046,91,107,-1940,160,158,159,159,-5516,124,162,-5965,0,1,2,8127,0,0,0,-2,0,0,1,-1,-3,0,0,0,0,0,0,1,-2,-5,4,0,3,4,0,0,0,0,1,1,2,2,0,0,0,0,265,259,269,273,0,0,0,0,266,259,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,10,-5515,126,88,-5967,1405,-3073,-103,0,0,-2,-5516,124,162,-5965,0,-3,57,5,11,-8,0,0,0,0,1,7,0,1,1,-0.04999443946356411,0.004661223966395374,1.6491038812662522,0,0,0,"","","",NaN,NaN,NaN,NaN
2552,14718489,-12,0,0,10000,1519,310,-7,0,11,-5,-7,10,3,87,-2055,-70,-52,-1996,159,158,159,159,-5516,124,162,-5965,0,1,4,8127,0,0,0,-2,0,0,1,0,-2,0,0,0,0,0,0,2,0,-4,2,0,2,4,0,0,0,0,1,1,2,2,0,0,0,0,265,259,269,273,0,0,0,0,265,262,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,9,-5515,126,88,-5967,1405,-3073,-103,0,0,-2,-5516,124,162,-5965,0,-3,57,5,11,-8,0,0,0,0,1,7,0,1,1,-0.04999443946356411,0.004661223966395374,1.6491038812662522,0,0,0,"","","",NaN,NaN,NaN,NaN
2556,14720505,-12,0,0,10000,1519,310,-5,4,7,-1,9,-1,-1,74,-2046,100,-47,-1847,158,158,158,158,-5516,124,162,-5965,0,1,4,8127,0,0,0,-2,0,0,1,-1,-2,0,0,0,0,0,0,1,-2,-3,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,265,259,269,273,0,0,0,0,266,260,268,269,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,9,-5515,126,88,-5967,1405,-3073,-103,0,0,-2,-5516,124,162,-5965,0,-3,57,5,11,-8,0,0,0,0,1,7,0,1,1,-0.04999443946356411,0.004661223966395374,1.6491038812662522,0,0,0,"","","",NaN,NaN,NaN,NaN
2560,14722521,-12,0,0,10000,1519,310,1,-1,4,5,2,-4,-1,68,-2040,-3,36,-2079,159,158,158,158,-5516,124,162,-5965,1,1,4,8127,0,0,0,-2,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,-1,2,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,265,259,269,272,0,0,0,0,263,260,271,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,9,-5515,126,88,-5967,1405,-3073,-103,0,0,-2,-5516,124,162,-5965,0,-3,57,5,11,-8,0,0,0,0,1,7,0,1,1,-0.04999443946356411,0.004661223966395374,1.6491038812662522,0,0,0,"","","",NaN,NaN,NaN,NaN
2564,14724537,-12,0,0,10000,1519,310,-1,-7,-2,-8,-9,-13,-3,75,-2045,-72,193,-2096,158,159,158,159,-5516,124,162,-5965,2,-1,3,8127,0,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,3,0,2,0,0,0,0,1,1,2,2,0,0,0,0,265,260,270,272,0,0,0,0,266,259,269,272,0,0,0,0,0,0,0,0,0,0,0,0,1405,-3073,-103,14712228,1405,-3073,-98,1405,-3072,-98,0,0,-2,2,1,5,0,0,1,0,0,10,-5515,126,88,-5967,1405,-3073,-103,0,0,-2,-5516,124,162,-5965,0,-3,57,5,11,-8,0,0,0,0,1,7,0,1,1,-0.04999443946356411,0.004661223966395374,1.6491038812662522,0,0,0,"","","",NaN,NaN,NaN,NaN
